source,game,period,draw_date,draw,trial,open_no,source_url,source_note,non_official,status_code,parse_ok,error
彩宝网/8200,福彩3D,2026150,2026-06-09,720,564,839,https://www.8200.cn/kjh/3d/2026150.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026151,2026-06-10,983,513,,https://www.8200.cn/kjh/p3/2026151.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026151,2026-06-10,98394,81185,,https://m.ydniu.com/kaijiang/pl5/sjh/2026151.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026151,2026-06-10,631,707,,https://www.3d178.cn/kaijiang/2026/2026151.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026151,2026-06-10,631,753,034,https://www.8200.cn/kjh/3d/2026151.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026152,2026-06-11,151,743,,https://www.8200.cn/kjh/p3/2026152.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026152,2026-06-11,15148,16887,,https://m.ydniu.com/kaijiang/pl5/sjh/2026152.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026152,2026-06-11,220,585,,https://www.3d178.cn/kaijiang/2026/2026152.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026152,2026-06-11,220,924,641,https://www.8200.cn/kjh/3d/2026152.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026153,2026-06-12,389,845,,https://www.8200.cn/kjh/p3/2026153.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026153,2026-06-12,38949,34429,,https://m.ydniu.com/kaijiang/pl5/sjh/2026153.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026153,2026-06-12,887,797,,https://www.3d178.cn/kaijiang/2026/2026153.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026153,2026-06-12,887,446,013,https://www.8200.cn/kjh/3d/2026153.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026154,2026-06-13,473,639,,https://www.8200.cn/kjh/p3/2026154.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026154,2026-06-13,47386,32610,,https://m.ydniu.com/kaijiang/pl5/sjh/2026154.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026154,2026-06-13,377,699,,https://www.3d178.cn/kaijiang/2026/2026154.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026154,2026-06-13,377,725,415,https://www.8200.cn/kjh/3d/2026154.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026155,2026-06-14,485,760,,https://www.8200.cn/kjh/p3/2026155.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026155,2026-06-14,48547,73370,,https://m.ydniu.com/kaijiang/pl5/sjh/2026155.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026155,2026-06-14,409,903,,https://www.3d178.cn/kaijiang/2026/2026155.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026155,2026-06-14,409,161,597,https://www.8200.cn/kjh/3d/2026155.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026156,2026-06-15,641,738,,https://www.8200.cn/kjh/p3/2026156.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026156,2026-06-15,64170,62645,,https://m.ydniu.com/kaijiang/pl5/sjh/2026156.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026156,2026-06-15,162,162,,https://www.3d178.cn/kaijiang/2026/2026156.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026156,2026-06-15,162,234,235,https://www.8200.cn/kjh/3d/2026156.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026157,2026-06-16,830,211,,https://www.8200.cn/kjh/p3/2026157.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026157,2026-06-16,83034,08550,,https://m.ydniu.com/kaijiang/pl5/sjh/2026157.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026157,2026-06-16,327,634,,https://www.3d178.cn/kaijiang/2026/2026157.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026157,2026-06-16,327,695,068,https://www.8200.cn/kjh/3d/2026157.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026158,2026-06-17,911,916,,https://www.8200.cn/kjh/p3/2026158.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026158,2026-06-17,91133,85322,,https://m.ydniu.com/kaijiang/pl5/sjh/2026158.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026158,2026-06-17,178,834,,https://www.3d178.cn/kaijiang/2026/2026158.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026158,2026-06-17,178,204,064,https://www.8200.cn/kjh/3d/2026158.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026159,2026-06-18,557,204,,https://www.8200.cn/kjh/p3/2026159.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026159,2026-06-18,55760,18767,,https://m.ydniu.com/kaijiang/pl5/sjh/2026159.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026159,2026-06-18,995,508,,https://www.3d178.cn/kaijiang/2026/2026159.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026159,2026-06-18,995,434,278,https://www.8200.cn/kjh/3d/2026159.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026160,2026-06-19,551,249,,https://www.8200.cn/kjh/p3/2026160.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
一定牛/ydniu,排列五,2026160,2026-06-19,55164,13490,,https://m.ydniu.com/kaijiang/pl5/sjh/2026160.html,页面明确标注为排列五五位模拟试机号，属于互联网模拟数据，不是官方试机号。,是,200,是,
3D之家/3d178,福彩3D,2026160,2026-06-19,332,895,,https://www.3d178.cn/kaijiang/2026/2026160.shtml,3D之家页面所列试机号；与彩宝网口径可能不同，原样独立保留。,否,200,是,
彩宝网/8200,福彩3D,2026160,2026-06-19,332,138,759,https://www.8200.cn/kjh/3d/2026160.htm,福彩3D页面口径：同时列出开机号与试机号。,否,200,是,
彩宝网/8200,排列三,2026161,2026-06-20,562,130,,https://www.8200.cn/kjh/p3/2026161.htm,排列三页面所列三位试机号；排列三与排列五共用同一期体彩摇奖流程。,否,200,是,
